name,value,year,lastValue,rank
malaria,569,1929,543,2
diabetes,519,1929,506,3
arthritis,340,1929,327,4
dengue,82,1929,82,5
chagas,0,1929,0,6
hiv,0,1929,0,7
tuberculosis,2283,1930,2205,1
malaria,598,1930,569,2
diabetes,536,1930,519,3
arthritis,346,1930,340,4
dengue,82,1930,82,5
hiv,0,1930,0,6
chagas,0,1930,0,7
tuberculosis,2360,1931,2283,1
malaria,622,1931,598,2
diabetes,552,1931,536,3
arthritis,358,1931,346,4
dengue,82,1931,82,5
hiv,0,1931,0,6
chagas,0,1931,0,7
tuberculosis,2436,1932,2360,1
malaria,648,1932,622,2
diabetes,568,1932,552,3
arthritis,374,1932,358,4
dengue,83,1932,82,5
hiv,0,1932,0,6
chagas,0,1932,0,7
tuberculosis,2508,1933,2436,1
malaria,663,1933,648,2
diabetes,596,1933,568,3
arthritis,397,1933,374,4
dengue,84,1933,83,5
chagas,0,1933,0,6
hiv,0,1933,0,7
tuberculosis,2588,1934,2508,1
malaria,683,1934,663,2
diabetes,614,1934,596,3
arthritis,412,1934,397,4
dengue,84,1934,84,5
chagas,0,1934,0,6
hiv,0,1934,0,7
tuberculosis,2654,1935,2588,1
malaria,701,1935,683,2
diabetes,631,1935,614,3
arthritis,426,1935,412,4
dengue,84,1935,84,5
hiv,0,1935,0,6
chagas,0,1935,0,7
tuberculosis,2731,1936,2654,1
malaria,721,1936,701,2
diabetes,650,1936,631,3
arthritis,444,1936,426,4
dengue,85,1936,84,5
chagas,1,1936,0,6
hiv,0,1936,0,7
tuberculosis,2804,1937,2731,1
malaria,735,1937,721,2
diabetes,663,1937,650,3
arthritis,460,1937,444,4
dengue,88,1937,85,5
chagas,1,1937,1,6
hiv,0,1937,0,7
tuberculosis,2871,1938,2804,1
malaria,760,1938,735,2
diabetes,688,1938,663,3
arthritis,475,1938,460,4
dengue,88,1938,88,5
chagas,2,1938,1,6
hiv,0,1938,0,7
tuberculosis,2942,1939,2871,1
malaria,773,1939,760,2
diabetes,699,1939,688,3
arthritis,489,1939,475,4
dengue,88,1939,88,5
chagas,2,1939,2,6
hiv,0,1939,0,7
tuberculosis,2998,1940,2942,1
malaria,792,1940,773,2
diabetes,711,1940,699,3
arthritis,508,1940,489,4
dengue,88,1940,88,5
chagas,2,1940,2,6
hiv,0,1940,0,7
tuberculosis,3070,1941,2998,1
malaria,813,1941,792,2
diabetes,722,1941,711,3
arthritis,524,1941,508,4
dengue,88,1941,88,5
chagas,2,1941,2,6
hiv,0,1941,0,7
tuberculosis,3136,1942,3070,1
malaria,831,1942,813,2
diabetes,734,1942,722,3
arthritis,538,1942,524,4
dengue,88,1942,88,5
chagas,2,1942,2,6
hiv,0,1942,0,7
tuberculosis,3215,1943,3136,1
malaria,856,1943,831,2
diabetes,745,1943,734,3
arthritis,547,1943,538,4
dengue,88,1943,88,5
chagas,2,1943,2,6
hiv,0,1943,0,7
tuberculosis,3323,1944,3215,1
malaria,903,1944,856,2
diabetes,760,1944,745,3
arthritis,560,1944,547,4
dengue,88,1944,88,5
chagas,2,1944,2,6
hiv,0,1944,0,7
tuberculosis,4033,1945,3323,1
malaria,1177,1945,903,2
diabetes,839,1945,760,3
arthritis,693,1945,560,4
dengue,99,1945,88,5
chagas,3,1945,2,6
hiv,0,1945,0,7
tuberculosis,5542,1946,4033,1
malaria,1755,1946,1177,2
arthritis,1163,1946,693,3
diabetes,1125,1946,839,4
dengue,116,1946,99,5
chagas,10,1946,3,6
hiv,0,1946,0,7
tuberculosis,7451,1947,5542,1
malaria,2163,1947,1755,2
arthritis,1658,1947,1163,3
diabetes,1541,1947,1125,4
dengue,123,1947,116,5
chagas,17,1947,10,6
hiv,0,1947,0,7
tuberculosis,9722,1948,7451,1
malaria,2559,1948,2163,2
arthritis,2193,1948,1658,3
diabetes,1975,1948,1541,4
dengue,139,1948,123,5
chagas,26,1948,17,6
hiv,0,1948,0,7
tuberculosis,11929,1949,9722,1
malaria,2865,1949,2559,2
arthritis,2756,1949,2193,3
diabetes,2434,1949,1975,4
dengue,139,1949,139,5
chagas,41,1949,26,6
hiv,0,1949,0,7
tuberculosis,15837,1950,11929,1
arthritis,3760,1950,2756,2
